,amount,buy_or_sell,date,liquidity_curve_susd,liquidity_curvefi,liquidity_kyber,liquidity_mstable,liquidity_oasis,liquidity_uniswap,liquidity_uniswap_v2,liquidity_zero_x,price,time
134,1000000,buy,2020-08-13,59.0,37.0,,,,,,4.0,1.024983147382034,08:42:49.274045
135,1500000,buy,2020-08-13,60.0,32.0,,,5.0,,1.0,2.0,1.0262264663850034,08:42:49.941960
136,10000,sell,2020-08-13,99.0,,,,,1.0,,,1.022852491469602,08:42:51.110297
137,25000,sell,2020-08-13,99.0,,,,,1.0,,,1.0228040610764288,08:42:51.781129
138,50000,sell,2020-08-13,100.0,,,,,,,,1.0227310853584317,08:42:53.062276
139,100000,sell,2020-08-13,100.0,,,,,,,,1.0225863409897444,08:42:54.398349
140,200000,sell,2020-08-13,100.0,,,,,,,,1.0223012566561784,08:42:55.518324
141,500000,sell,2020-08-13,96.0,4.0,,,,,,,1.021487692987134,08:42:56.694425
142,1000000,sell,2020-08-13,84.0,16.0,,,,,,,1.020425086356471,08:42:57.513004
143,1500000,sell,2020-08-13,79.0,19.0,,,,,,2.0,1.0195295270831108,08:42:59.024427
144,10000,buy,2020-08-13,,80.0,,,,,,20.0,1.0214556695655084,08:43:59.921925
145,25000,buy,2020-08-13,,92.0,,,,,,8.0,1.0217788027572197,08:44:01.233506
146,50000,buy,2020-08-13,,96.0,,,,,,4.0,1.0220311937913917,08:44:02.305163
147,100000,buy,2020-08-13,31.0,67.0,,,,,,2.0,1.0223353103858723,08:44:03.222869
148,200000,buy,2020-08-13,52.0,47.0,,,,,,1.0,1.0226412657176938,08:44:04.331514
149,500000,buy,2020-08-13,65.0,35.0,,,,,,,1.0233428784948,08:44:05.650090
150,1000000,buy,2020-08-13,70.0,30.0,,,,,,,1.024460567251881,08:44:06.407848
151,1500000,buy,2020-08-13,68.0,28.0,,,4.0,,,,1.0256501799947948,08:44:07.205592
152,10000,sell,2020-08-13,97.0,,,,,3.0,,,1.021754683948851,08:44:08.677122
153,25000,sell,2020-08-13,99.0,,,,,1.0,,,1.0216988265499813,08:44:09.522851
154,50000,sell,2020-08-13,99.0,,,,,1.0,,,1.0216225907347591,08:44:10.329592
155,100000,sell,2020-08-13,100.0,,,,,,,,1.0214826732862132,08:44:10.994379
156,200000,sell,2020-08-13,93.0,7.0,,,,,,,1.0212237232426984,08:44:12.281966
157,500000,sell,2020-08-13,81.0,19.0,,,,,,,1.0206064667157912,08:44:13.545562
158,1000000,sell,2020-08-13,76.0,23.0,,,,,,1.0,1.0196967331334268,08:44:14.262332
159,1500000,sell,2020-08-13,74.0,24.0,,,,,,2.0,1.018882930511688,08:44:15.660884
160,10000,buy,2020-08-13,,80.0,,,,,,20.0,1.021455668173915,08:45:16.925001
161,25000,buy,2020-08-13,,92.0,,,,,,8.0,1.021778801142478,08:45:18.306726
162,50000,buy,2020-08-13,25.0,71.0,,,,,,4.0,1.021999551234728,08:45:19.361748
163,100000,buy,2020-08-13,49.0,49.0,,,,,,2.0,1.0221897926595283,08:45:20.265701
164,200000,buy,2020-08-13,61.0,38.0,,,,,,1.0,1.0224336054773733,08:45:21.406529
165,500000,buy,2020-08-13,68.0,31.0,,,,,,1.0,1.0230725087422061,08:45:22.787201
166,1000000,buy,2020-08-13,68.0,28.0,,,,,,4.0,1.0241257853556025,08:45:24.053710
167,1500000,buy,2020-08-13,71.0,27.0,,,,,,2.0,1.0252705444183767,08:45:24.858219
168,10000,sell,2020-08-13,99.0,,,,,1.0,,,1.021376127484704,08:45:25.696947
169,25000,sell,2020-08-13,99.0,,,,,1.0,,,1.0213310308730965,08:45:26.427406
170,50000,sell,2020-08-13,100.0,,,,,,,,1.021262504795297,08:45:28.378072
171,100000,sell,2020-08-13,95.0,5.0,,,,,,,1.0211311177681475,08:45:28.970108
172,200000,sell,2020-08-13,84.0,16.0,,,,,,,1.0209140104052603,08:45:30.211062
173,500000,sell,2020-08-13,77.0,23.0,,,,,,,1.0203384482551316,08:45:30.879032
174,1000000,sell,2020-08-13,73.0,25.0,,,,,,2.0,1.0194575237326315,08:45:31.874202
175,1500000,sell,2020-08-13,72.0,26.0,,,,,,2.0,1.018662254884179,08:45:33.107174
176,10000,buy,2020-08-13,,80.0,,,,,,20.0,1.021455666731782,08:46:34.070129
177,25000,buy,2020-08-13,,92.0,,,,,,8.0,1.021778799469088,08:46:35.361982
178,50000,buy,2020-08-13,24.0,72.0,,,,,,4.0,1.0220020112670323,08:46:36.304004
179,100000,buy,2020-08-13,49.0,49.0,,,,,,2.0,1.0221946994591375,08:46:37.160078
180,200000,buy,2020-08-13,61.0,38.0,,,,,,1.0,1.0224397612040894,08:46:38.453852
181,500000,buy,2020-08-13,68.0,31.0,,,,,,1.0,1.0230795300327984,08:46:39.167293
182,1000000,buy,2020-08-13,68.0,28.0,,,,,,4.0,1.0241330690236812,08:46:40.535068
183,1500000,buy,2020-08-13,71.0,27.0,,,,,,2.0,1.0252784813650218,08:46:41.300498
184,10000,sell,2020-08-13,99.0,,,,,1.0,,,1.0213405764696257,08:46:42.747615
185,25000,sell,2020-08-13,99.0,,,,,1.0,,,1.0212955667364867,08:46:43.845997
186,50000,sell,2020-08-13,100.0,,,,,,,,1.0212268307213757,08:46:45.134006
187,100000,sell,2020-08-13,93.0,7.0,,,,,,,1.021097693919113,08:46:46.361308
188,200000,sell,2020-08-13,83.0,17.0,,,,,,,1.020884712876926,08:46:47.058087
189,500000,sell,2020-08-13,77.0,23.0,,,,,,,1.0203124126034737,08:46:47.801153
190,1000000,sell,2020-08-13,73.0,25.0,,,,,,2.0,1.0194341042214028,08:46:48.516085
191,1500000,sell,2020-08-13,72.0,26.0,,,,,,2.0,1.0186402985047824,08:46:49.734168
192,10000,buy,2020-08-13,,90.0,,,,,,10.0,1.0215912434291288,08:47:51.040025
193,25000,buy,2020-08-13,,96.0,,,,,,4.0,1.02184165065474,08:47:51.770129
194,50000,buy,2020-08-13,8.0,90.0,,,,,,2.0,1.0220667479322119,08:47:52.484788
195,100000,buy,2020-08-13,41.0,58.0,,,,,,1.0,1.0222940442679422,08:47:53.235281
196,200000,buy,2020-08-13,57.0,42.0,,,,,,1.0,1.0225584429297945,08:47:54.545009
197,500000,buy,2020-08-13,66.0,33.0,,,,,,1.0,1.0232095091504587,08:47:55.417072
198,1000000,buy,2020-08-13,68.0,28.0,,,,,,4.0,1.0242646821048091,08:47:56.732050
199,1500000,buy,2020-08-13,70.0,28.0,,,,,,2.0,1.0254170778988172,08:47:57.980889
200,10000,sell,2020-08-13,99.0,,,,,1.0,,,1.0215606030307411,08:47:59.156821
201,25000,sell,2020-08-13,100.0,,,,,,,,1.0215159398351683,08:47:59.919319
202,50000,sell,2020-08-13,100.0,,,,,,,,1.021448275710657,08:48:01.311558
203,100000,sell,2020-08-13,100.0,,,,,,,,1.0213139537008367,08:48:02.048789
204,200000,sell,2020-08-13,89.0,11.0,,,,,,,1.0210732240712432,08:48:03.635139
205,500000,sell,2020-08-13,79.0,21.0,,,,,,,1.0204803303261292,08:48:04.379965
206,1000000,sell,2020-08-13,75.0,24.0,,,,,,1.0,1.019588987613936,08:48:05.667993
207,1500000,sell,2020-08-13,73.0,25.0,,,,,,2.0,1.0187879071681802,08:48:06.389023
208,10000,buy,2020-08-13,,80.0,,,,,,20.0,1.0214481649505576,08:49:07.236701
209,25000,buy,2020-08-13,,92.0,,,,,,8.0,1.0217701267184804,08:49:08.606276
210,50000,buy,2020-08-13,6.0,90.0,,,,,,4.0,1.0220205396893753,08:49:09.449239
211,100000,buy,2020-08-13,39.0,59.0,,,,,,2.0,1.0222676775640325,08:49:10.526225
212,200000,buy,2020-08-13,56.0,43.0,,,,,,1.0,1.022540563850931,08:49:11.940642
213,500000,buy,2020-08-13,66.0,33.0,,,,,,1.0,1.0231980686749966,08:49:13.327698
214,1000000,buy,2020-08-13,68.0,28.0,,,,,,4.0,1.0242564168661836,08:49:14.595425
215,1500000,buy,2020-08-13,70.0,28.0,,,,,,2.0,1.0254106292105827,08:49:15.336012
216,10000,sell,2020-08-13,99.0,,,,,1.0,,,1.0215606030307411,08:49:16.197109
217,25000,sell,2020-08-13,100.0,,,,,,,,1.0215159398351683,08:49:17.000966
218,50000,sell,2020-08-13,100.0,,,,,,,,1.0214467602931059,08:49:18.458179
219,100000,sell,2020-08-13,100.0,,,,,,,,1.0213124475818751,08:49:19.121673
220,200000,sell,2020-08-13,89.0,11.0,,,,,,,1.0210708754344697,08:49:20.399109
221,500000,sell,2020-08-13,79.0,21.0,,,,,,,1.02047728592785,08:49:21.802512
222,1000000,sell,2020-08-13,75.0,23.0,,,,,,2.0,1.0195951117722895,08:49:23.033248
223,1500000,sell,2020-08-13,73.0,25.0,,,,,,2.0,1.0187915667571927,08:49:23.838476
224,10000,buy,2020-08-13,,80.0,,,,,,20.0,1.0214481638014643,08:50:25.097664
225,25000,buy,2020-08-13,,92.0,,,,,,8.0,1.021770125385121,08:50:26.190271
